,Molecular mass of acid,Molecular mass of amine,The boiling point of acid,The boiling point of amine,The melting point of acid,The melting point of amine,Acid flash point,Flash point of amine,The amount of nitrogen in the acid,The amount of nitrogen in the amine,The oxygen content of the acid,The amount of oxygen in the amine,The amount of hydrogen in the acid,The amount of hydrogen in the amine,The amount of carbon in the acid,The amount of carbon in the amine,Molar refractive index of acid,Molar refractive index of amine,Refractive index of acid,Refractive index of amine,The polarizability of acid,The polarizability of amine,The number of hydrogen bond donors for acid,The number of hydrogen bond donors for the amine,The number of hydrogen bond receptors for acid,The number of hydrogen bond receptors for the amine,The number of rotatable bonds of an acid,The number of rotatable bonds of an amine,The number of heavy atoms of an acid,The number of heavy atoms of an amine,Topological molecular polar surface area of acids,Topological molecular polar surface area of amines,Acid complexity,Amine complexity,The relative density of the acid,The relative density of amines,The relative vapor density of the acid,The relative vapor density of the amine,The vapor pressure of acid is 25¡æ,The vapor pressure of the amine is 25¡æ,The burning heat of acid,The burning heat of amine,The critical temperature of the acid,The critical temperature of the amine,Critical pressure of acid,The critical pressure of the amine,Octanol/water partition coefficient of acid,Octanol/water partition coefficient of amine,The PSA of acid  ,The PSA of Amine ,LogP of acid,LogP of an amine,Surface tension of acid,Surface tension of amine,Isotonic specific volume of acid,Isotonic specific volume of amine,Molar volume of acid,Molar volume of an amine,3-mercaptopropionic acid,Temperature,Time,Fluorescence intensity
35,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,260,40,7.677305
36,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.2,260,50,4.3892035
37,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,220,30,8.558685
38,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,220,40,8.70375
39,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,220,50,5.4986335
40,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,240,30,8.0584
41,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,240,40,8.391735
42,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,240,50,6.027231
43,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,260,30,7.8544585
44,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,260,40,8.77212
45,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.4,260,50,4.9662245
46,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,220,30,8.50375
47,74.08,45.08,141,16.6,-22,-50,54,-17,0,1,2,0,6,7,3,2,17.51,14.84,1.3848,1.373,6.94,5.88,1,1,2,1,1,0,5,3,37.3,26,40.2,2.8,0.99,0.7,2.56,1.56,4.2,1132.3,-1525.8,-1713.3,339,182.9,4.53,5.62,0.26,-0.13,37.3,26.02,0.25,-0.13,32.3,21.5,173.3,140.7,72.6,65.2,0.6,220,40,8.65008
